"Date","Clients","Clients.transported","Clients.stationary"
"2023-11-15T00:00:00",4,0,4
"2023-11-16T00:00:00",1,1,0
"2023-11-17T00:00:00",3,1,2
"2023-11-18T00:00:00",0,0,0
"2023-11-19T00:00:00",16,16,0
"2023-11-20T00:00:00",8,0,8
"2023-11-21T00:00:00",9,1,8
"2023-11-22T00:00:00",6,5,1
"2023-11-23T00:00:00",4,0,4
"2023-11-24T00:00:00",3,0,3
"2023-11-25T00:00:00",3,1,2
"2023-11-26T00:00:00",12,0,12
"2023-11-27T00:00:00",6,0,6
"2023-11-28T00:00:00",28,22,6
"2023-11-29T00:00:00",6,1,5
"2023-11-30T00:00:00",2,1,1
"2023-12-01T00:00:00",6,0,6
"2023-12-02T00:00:00",4,0,4
"2023-12-03T00:00:00",3,2,1
"2023-12-04T00:00:00",8,1,7
"2023-12-05T00:00:00",14,5,9
"2023-12-06T00:00:00",13,0,13
"2023-12-07T00:00:00",6,1,5
"2023-12-08T00:00:00",6,0,6
"2023-12-09T00:00:00",10,1,9
"2023-12-10T00:00:00",8,0,8
"2023-12-11T00:00:00",13,0,13
"2023-12-12T00:00:00",11,0,11
"2023-12-13T00:00:00",15,0,15
"2023-12-14T00:00:00",16,1,15
"2023-12-15T00:00:00",14,0,14
"2023-12-16T00:00:00",12,4,8
"2023-12-17T00:00:00",11,0,11
"2023-12-18T00:00:00",31,0,31
"2023-12-19T00:00:00",24,0,24
"2023-12-20T00:00:00",22,0,22
"2023-12-21T00:00:00",17,1,16
"2023-12-22T00:00:00",17,0,17
"2023-12-23T00:00:00",16,0,16
"2023-12-24T00:00:00",14,1,13
"2023-12-25T00:00:00",14,0,14
"2023-12-26T00:00:00",19,4,15
"2023-12-27T00:00:00",15,0,15
"2023-12-28T00:00:00",20,0,20
"2023-12-29T00:00:00",15,0,15
"2023-12-30T00:00:00",24,0,24
"2023-12-31T00:00:00",27,1,26
"2024-01-01T00:00:00",13,5,8
"2024-01-02T00:00:00",13,0,13
"2024-01-03T00:00:00",25,3,22
"2024-01-04T00:00:00",28,1,27
"2024-01-05T00:00:00",25,0,25
"2024-01-06T00:00:00",24,0,24
"2024-01-07T00:00:00",24,0,24
"2024-01-08T00:00:00",26,0,26
"2024-01-09T00:00:00",21,0,21
"2024-01-10T00:00:00",25,1,24
"2024-01-11T00:00:00",22,0,22
"2024-01-12T00:00:00",16,0,16
"2024-01-13T00:00:00",30,0,30
"2024-01-14T00:00:00",30,2,28
"2024-01-15T00:00:00",31,0,31
"2024-01-16T00:00:00",35,0,35
"2024-01-17T00:00:00",44,2,39
"2024-01-18T00:00:00",53,2,51
"2024-01-19T00:00:00",31,0,31
"2024-01-20T00:00:00",37,2,35
"2024-01-21T00:00:00",36,3,33
"2024-01-22T00:00:00",43,0,43
"2024-01-23T00:00:00",41,0,41
"2024-01-24T00:00:00",38,0,38
"2024-01-25T00:00:00",41,0,41
"2024-01-26T00:00:00",28,0,28
"2024-01-27T00:00:00",36,0,36
"2024-01-28T00:00:00",41,0,41
"2024-01-29T00:00:00",45,2,43
"2024-01-30T00:00:00",42,1,41
"2024-01-31T00:00:00",43,0,43
"2024-02-01T00:00:00",36,1,35
"2024-02-02T00:00:00",46,2,44
"2024-02-03T00:00:00",32,0,32
"2024-02-04T00:00:00",50,0,50
"2024-02-05T00:00:00",43,0,43
"2024-02-06T00:00:00",36,0,36
"2024-02-07T00:00:00",41,0,41
"2024-02-08T00:00:00",44,0,44
"2024-02-09T00:00:00",43,0,43
"2024-02-10T00:00:00",59,0,59
"2024-02-11T00:00:00",65,0,65
"2024-02-12T00:00:00",59,0,59
"2024-02-13T00:00:00",65,0,65
"2024-02-14T00:00:00",64,0,64
"2024-02-15T00:00:00",60,0,60
"2024-02-16T00:00:00",60,0,60
"2024-02-17T00:00:00",66,0,66
"2024-02-18T00:00:00",90,0,90
"2024-02-19T00:00:00",86,0,86
"2024-02-20T00:00:00",62,0,62
"2024-02-21T00:00:00",61,0,61
"2024-02-22T00:00:00",60,0,60
"2024-02-23T00:00:00",62,0,62
"2024-02-24T00:00:00",74,0,74
"2024-02-25T00:00:00",71,0,71
"2024-02-26T00:00:00",62,0,58
"2024-02-27T00:00:00",47,0,47
"2024-02-28T00:00:00",59,0,59
"2024-02-29T00:00:00",52,0,52
"2024-03-01T00:00:00",41,0,41
"2024-03-02T00:00:00",41,0,41
"2024-03-03T00:00:00",56,0,56
"2024-03-04T00:00:00",57,0,57
"2024-03-05T00:00:00",60,0,60
"2024-03-06T00:00:00",49,0,49
"2024-03-07T00:00:00",63,0,63
"2024-03-08T00:00:00",61,0,61
"2024-03-09T00:00:00",62,0,62
"2024-03-10T00:00:00",72,0,72
"2024-03-11T00:00:00",65,0,65
"2024-03-12T00:00:00",49,0,49
"2024-03-13T00:00:00",55,0,55
"2024-03-14T00:00:00",62,0,62
"2024-03-15T00:00:00",52,0,52
"2024-03-16T00:00:00",62,0,62
"2024-03-17T00:00:00",75,0,75
"2024-03-18T00:00:00",92,0,92
"2024-03-19T00:00:00",71,0,71
"2024-03-20T00:00:00",67,0,67
"2024-03-21T00:00:00",82,0,82
"2024-03-22T00:00:00",70,0,70
"2024-03-23T00:00:00",78,0,78
"2024-03-24T00:00:00",71,0,71
"2024-03-25T00:00:00",75,0,75
"2024-03-26T00:00:00",61,0,61
"2024-03-27T00:00:00",59,0,59
"2024-03-28T00:00:00",58,0,58
"2024-03-29T00:00:00",51,0,51
"2024-03-30T00:00:00",60,0,60
"2024-03-31T00:00:00",60,0,60
"2024-04-01T00:00:00",46,0,46
"2024-04-02T00:00:00",60,0,60
"2024-04-03T00:00:00",46,0,46
"2024-04-04T00:00:00",71,0,71
"2024-04-05T00:00:00",69,0,69
"2024-04-06T00:00:00",62,0,62
"2024-04-07T00:00:00",51,0,51
"2024-04-08T00:00:00",65,0,65
"2024-04-09T00:00:00",46,0,46
"2024-04-10T00:00:00",39,0,39
"2024-04-11T00:00:00",43,0,43
"2024-04-12T00:00:00",66,0,66
"2024-04-13T00:00:00",48,0,48
"2024-04-14T00:00:00",55,0,55
